0.00-1.40: 嗨嗨 我是Josh
1.40-2.90: 我下午本來要做嗨爆啦
2.90-4.30: 但是臨時有其他話題
4.30-6.20: 所以我就先改做這個主題
6.20-8.20: 下午swayze上面一直有人在貼
8.20-9.30: 顧重量講說
9.30-10.90: 職棒一直在退步
10.90-12.90: 拖累整個排行的這個片段
12.90-14.80: 我覺得還是要把整段話都找出來
14.80-17.50: 只看一兩句話的話很容易會誤會原意
17.50-18.40: 大家都知道嘛
18.40-19.70: 新聞很容易會這樣
19.70-22.20: 抓那一兩句最爽動的話來下標
22.20-24.00: 但是如果去把整段話都看完
24.00-26.50: 可能會發現人家根本不是那個意思
26.50-28.00: 所以我去把整段話都看完了
28.10-30.30: 還做成竹字稿放在我的粉專上
30.30-32.40: 媒體這次沒有斷章取義
32.40-34.90: 顧重量講的意思就真的是那樣
34.90-35.80: 顧重量說
35.80-38.20: 各位應該如果瞭解棒球的話
38.20-40.40: 我們基層棒球一直在進步
40.40-41.70: 尤其是今年的U18
41.70-43.10: 我們打了一個冠軍
43.10-44.20: 相隔這麼多年
44.20-45.90: 我覺得是一件不容易的事情
45.90-48.60: 要不然U18一直是日本跟韓國的天下
48.60-50.00: 我們這次拿這個冠軍呢
50.00-51.30: 我覺得身為一個臺灣人
51.30-53.10: 非常非常驕傲
53.10-55.60: 可是我們的職棒真的是必須要加油
55.60-58.20: 我們的職棒拖累整個我們的排行
58.20-60.30: 我們的基層棒球一直在進步
60.30-62.50: 可是我們的職棒一直在退步
62.50-64.60: 我一直在講我們的防費是一流
64.60-66.40: 打擊是世界三流
66.40-67.70: 這樣是不對的
67.70-69.40: 所以我們的打擊一定要加強
69.40-71.40: 才有辦法跟得上世界第二
71.40-73.50: 這個世界第二是我們的平均
73.50-75.90: 就是職棒沒有世界第二
75.90-77.20: 對於顧重量講的這些
77.20-78.70: 我的第一個想法就是
78.70-81.50: 國際賽的成績跟職棒有沒有進步
81.50-83.10: 並不是劃在一起的
83.10-83.80: 首先啊
83.80-85.40: 對於成棒等級的國際賽
85.40-87.30: 真正最高成績的成棒國際賽
87.30-88.80: 就是經典賽
88.80-89.90: 在這個成績裡面
89.90-91.50: 我們超弱
91.50-92.50: 54的經典賽裡面
92.50-94.00: 我們只有一次突破預賽
94.00-96.10: 其他全部都是在預賽就被淘汰
96.10-97.10: 所以顧重量講的
97.10-98.40: 我們防備是一流
98.40-99.60: 打擊是三流
